episode_number,guest,title,title_topics,chapter_topics,all_topics
12,Tuomas Sandholm,Tuomas Sandholm - Poker and Game Theory,Tuomas Sandholm - Poker and Game Theory,Game; Games; Information; Poker; Player; Play; Players; Design; Strategy; Your; Learning; Theory; Mechanism; Them; Form,Tuomas Sandholm - Poker and Game Theory; Game; Games; Information; Poker; Player; Play; Players; Design; Strategy; Your; Learning; Theory; Mechanism; Them; Form
13,Tomaso Poggio,"Tomaso Poggio - Brains, Minds, and Machines",Tomaso Poggio - Brains; Minds; and Machines,Intelligence; Brain; Your; Understanding; Learning; Networks; Deep; Level; Terms; Science; Artificial; Neural; Cortex; Learn; Quite,Tomaso Poggio - Brains; Minds; and Machines; Intelligence; Brain; Your; Understanding; Learning; Networks; Deep; Level; Terms; Science; Artificial; Neural; Cortex; Learn; Quite
14,Kyle Vogt,Kyle Vogt - Cruise Automation,Kyle Vogt - Cruise Automation,Your; Driving; Pretty; Cars; Autonomous; Vehicle; Them; Challenge; Gonna; Solve; Self; Company; Guess; System; Business,Kyle Vogt - Cruise Automation; Your; Driving; Pretty; Cars; Autonomous; Vehicle; Them; Challenge; Gonna; Solve; Self; Company; Guess; System; Business
15,Leslie Kaelbling,"Leslie Kaelbling - Reinforcement Learning, Planning, and Robotics",Leslie Kaelbling - Reinforcement Learning; Planning; and Robotics,Your; Robot; Model; Space; Learning; Reasoning; Robots; Kinds; Reason; Gonna; Uncertainty; Problems; State; Planning; Science,Leslie Kaelbling - Reinforcement Learning; Planning; and Robotics; Your; Robot; Model; Space; Learning; Reasoning; Robots; Kinds; Reason; Gonna; Uncertainty; Problems; State; Planning; Science
16,Eric,Eric Weinstein Revolutionary Ideas in Science Math and Society,Eric Weinstein Revolutionary Ideas in Science Math and Society,Your; Their; Them; Level; Theory; Physics; System; Intelligence; Doesn; Quite; Ideas; Within; Lehrer; Imagine; Community,Eric Weinstein Revolutionary Ideas in Science Math and Society; Your; Their; Them; Level; Theory; Physics; System; Intelligence; Doesn; Quite; Ideas; Within; Lehrer; Imagine; Community
17,Greg Brockman,Greg Brockman - OpenAI and AGI,Greg Brockman - OpenAI and AGI,Scale; Build; System; Systems; Open; Ideas; Intelligence; Company; Opening; Hard; Mission; Humans; Better; Create; Sure,Greg Brockman - OpenAI and AGI; Scale; Build; System; Systems; Open; Ideas; Intelligence; Company; Opening; Hard; Mission; Humans; Better; Create; Sure
18,Elon,Elon Musk Tesla Autopilot,Elon Musk Tesla Autopilot,System; Autopilot; Tesla; Full; Driving; Data; Computer; Cars; Your; Driver; Elevator; Safety; Drive; Self; Simulation,Elon Musk Tesla Autopilot; System; Autopilot; Tesla; Full; Driving; Data; Computer; Cars; Your; Driver; Elevator; Safety; Drive; Self; Simulation
19,Ian Goodfellow,Ian Goodfellow - Generative Adversarial Networks (GANs),Ian Goodfellow - Generative Adversarial Networks (GANs),Learning; Data; Model; Deep; Machine; Them; Better; Models; Your; Training; Image; Train; Generative; Algorithms; System,Ian Goodfellow - Generative Adversarial Networks (GANs); Learning; Data; Model; Deep; Machine; Them; Better; Models; Your; Training; Image; Train; Generative; Algorithms; System
20,Oriol,Oriol Vinyals DeepMind AlphaStar StarCraft and Language,Oriol Vinyals DeepMind AlphaStar StarCraft and Language,Game; Starcraft; Play; Learning; Your; Alpha; Star; Games; Actions; Them; Quite; Deep; Units; Gonna; Agents,Oriol Vinyals DeepMind AlphaStar StarCraft and Language; Game; Starcraft; Play; Learning; Your; Alpha; Star; Games; Actions; Them; Quite; Deep; Units; Gonna; Agents
21,Chris,Chris Lattner Compilers LLVM Swift TPU and ML Accelerators,Chris Lattner Compilers LLVM Swift TPU and ML Accelerators,Compiler; Code; Swift; Language; Hardware; Python; Compilers; Software; Machine; Hard; Learning; Your; Llvm; Apple; Objective,Chris Lattner Compilers LLVM Swift TPU and ML Accelerators; Compiler; Code; Swift; Language; Hardware; Python; Compilers; Software; Machine; Hard; Learning; Your; Llvm; Apple; Objective
22,Rajat Monga,Rajat Monga - TensorFlow,Rajat Monga - TensorFlow,Tensorflow; Learning; Google; Them; Research; Open; Together; Team; Sure; Deep; Community; Flow; Across; Source; Ecosystem,Rajat Monga - TensorFlow; Tensorflow; Learning; Google; Them; Research; Open; Together; Team; Sure; Deep; Community; Flow; Across; Source; Ecosystem
24,Rosalind Picard,"Rosalind Picard - Affective Computing, Emotion, Privacy, and Health",Rosalind Picard - Affective Computing; Emotion; Privacy; and Health,Your; Them; Science; Emotion; Computer; Their; Face; Data; Brain; Better; Build; Needs; Gonna; Deep; Future,Rosalind Picard - Affective Computing; Emotion; Privacy; and Health; Your; Them; Science; Emotion; Computer; Their; Face; Data; Brain; Better; Build; Needs; Gonna; Deep; Future
25,Jeff,Jeff Hawkins Thousand Brains Theory of Intelligence,Jeff Hawkins Thousand Brains Theory of Intelligence,Brain; Reference; Intelligence; Your; Them; Learning; Coffee; Neurons; Neocortex; Doesn; Model; Parts; Models; Gonna; Frame,Jeff Hawkins Thousand Brains Theory of Intelligence; Brain; Reference; Intelligence; Your; Them; Learning; Coffee; Neurons; Neocortex; Doesn; Model; Parts; Models; Gonna; Frame
26,Sean,Sean Carroll The Nature of the Universe Life and Intelligence,Sean Carroll The Nature of the Universe Life and Intelligence,Universe; Intelligent; Your; Them; Space; Consciousness; Intelligence; Degrees; Freedom; Possible; Science; Understanding; Simulation; Hard; Artificial,Sean Carroll The Nature of the Universe Life and Intelligence; Universe; Intelligent; Your; Them; Space; Consciousness; Intelligence; Degrees; Freedom; Possible; Science; Understanding; Simulation; Hard; Artificial
27,Kai-Fu Lee,Kai-Fu Lee - AI Superpowers - China and Silicon Valley,Kai-Fu Lee - AI Superpowers - China and Silicon Valley,Data; Jobs; Chinese; Companies; China; Better; Your; Government; Them; Value; Products; Company; Hard; Build; Routine,Kai-Fu Lee - AI Superpowers - China and Silicon Valley; Data; Jobs; Chinese; Companies; China; Better; Your; Government; Them; Value; Products; Company; Hard; Build; Routine
28,Chris Urmson,"Chris Urmson - Self-Driving Cars at Aurora, Google, CMU, and DARPA",Chris Urmson - Self-Driving Cars at Aurora; Google; CMU; and DARPA,Technology; Vehicle; Driving; Urban; Challenge; System; Vehicles; Safety; Around; Them; Their; Miles; Driver; Autonomous; Drive,Chris Urmson - Self-Driving Cars at Aurora; Google; CMU; and DARPA; Technology; Vehicle; Driving; Urban; Challenge; System; Vehicles; Safety; Around; Them; Their; Miles; Driver; Autonomous; Drive
29,Gustav Soderstrom,Gustav Soderstrom - Spotify,Gustav Soderstrom - Spotify,Music; Your; Spotify; Product; Listen; Song; Gonna; Their; Data; Play; Them; User; Machine; Experience; Songs,Gustav Soderstrom - Spotify; Music; Your; Spotify; Product; Listen; Song; Gonna; Their; Data; Play; Them; User; Machine; Experience; Songs
30,Kevin Scott,Kevin Scott - Microsoft CTO,Kevin Scott - Microsoft CTO,Microsoft; Gonna; Their; Your; Technology; Platform; Data; Better; Folks; Them; Bunch; Super; Research; Future; Company,Kevin Scott - Microsoft CTO; Microsoft; Gonna; Their; Your; Technology; Platform; Data; Better; Folks; Them; Bunch; Super; Research; Future; Company
31,George,George Hotz Commaai OpenPilot and Autonomous Vehicles,George Hotz Commaai OpenPilot and Autonomous Vehicles,Your; Gonna; Lane; System; Them; Level; Driver; Driving; Cars; Data; Open; Tesla; Learning; Better; Monitoring,George Hotz Commaai OpenPilot and Autonomous Vehicles; Your; Gonna; Lane; System; Them; Level; Driver; Driving; Cars; Data; Open; Tesla; Learning; Better; Monitoring
32,Paola Arlotta,Paola Arlotta - Brain Development from Stem Cell to Organoid,Paola Arlotta - Brain Development from Stem Cell to Organoid,Brain; Cells; Development; Cell; Process; Stem; Build; Building; Cortex; Your; Neurons; Embryo; Them; Types; Next,Paola Arlotta - Brain Development from Stem Cell to Organoid; Brain; Cells; Development; Cell; Process; Stem; Build; Building; Cortex; Your; Neurons; Embryo; Them; Types; Next
33,Keoki Jackson,Keoki Jackson - Lockheed Martin,Keoki Jackson - Lockheed Martin,Systems; Lockheed; Space; Martin; Kinds; Aircraft; System; Mission; Essentially; Capabilities; Autonomous; Autonomy; Sure; Humans; Incredible,Keoki Jackson - Lockheed Martin; Systems; Lockheed; Space; Martin; Kinds; Aircraft; System; Mission; Essentially; Capabilities; Autonomous; Autonomy; Sure; Humans; Incredible
34,Pamela McCorduck,Pamela McCorduck - Machines Who Think and the Early Days of AI,Pamela McCorduck - Machines Who Think and the Early Days of AI,Thought; Intelligence; Science; Book; Your; Field; Machines; Institute; Course; Didn; Gonna; Santa; Around; Them; Enough,Pamela McCorduck - Machines Who Think and the Early Days of AI; Thought; Intelligence; Science; Book; Your; Field; Machines; Institute; Course; Didn; Gonna; Santa; Around; Them; Enough
35,Jeremy Howard,Jeremy Howard - fast.ai Deep Learning Courses and Research,Jeremy Howard - fast.ai Deep Learning Courses and Research,Learning; Data; Your; Them; Deep; Stuff; Research; Programming; Model; Fast; Google; Language; Swift; Domain; Their,Jeremy Howard - fast.ai Deep Learning Courses and Research; Learning; Data; Your; Them; Deep; Stuff; Research; Programming; Model; Fast; Google; Language; Swift; Domain; Their
36,Yann,Yann LeCun Deep Learning ConvNets and Self-Supervised Learning,Yann LeCun Deep Learning ConvNets and Self-Supervised Learning,Your; Learning; System; Model; Objective; Running; Data; Learn; Gonna; Machine; Level; General; Them; Systems; Knowledge,Yann LeCun Deep Learning ConvNets and Self-Supervised Learning; Your; Learning; System; Model; Objective; Running; Data; Learn; Gonna; Machine; Level; General; Them; Systems; Knowledge
37,Vijay Kumar,Vijay Kumar - Flying Robots,Vijay Kumar - Flying Robots,Robots; Them; Learning; Autonomous; Flying; Robotics; Robot; Your; Hard; Motors; Individual; Autonomy; Vehicles; Building; Computer,Vijay Kumar - Flying Robots; Robots; Them; Learning; Autonomous; Flying; Robotics; Robot; Your; Hard; Motors; Individual; Autonomy; Vehicles; Building; Computer
38,François,François Chollet Keras Deep Learning and the Progress of AI,François Chollet Keras Deep Learning and the Progress of AI,Intelligence; Your; System; Learning; Science; Deep; Data; Knowledge; Problems; Scale; Brain; Instance; Information; Space; Progress,François Chollet Keras Deep Learning and the Progress of AI; Intelligence; Your; System; Learning; Science; Deep; Data; Knowledge; Problems; Scale; Brain; Instance; Information; Space; Progress
39,Colin Angle,Colin Angle - iRobot CEO,Colin Angle - iRobot CEO,Robot; Robots; Home; Your; Data; Robotics; Roomba; Irobot; Vision; Cost; Privacy; Their; Company; Role; Environment,Colin Angle - iRobot CEO; Robot; Robots; Home; Your; Data; Robotics; Roomba; Irobot; Vision; Cost; Privacy; Their; Company; Role; Environment
40,Regina Barzilay,Regina Barzilay - Deep Learning for Cancer Diagnosis and Treatment,Regina Barzilay - Deep Learning for Cancer Diagnosis and Treatment,Data; Machine; Your; Cancer; Their; Learning; Science; Them; Area; Computer; Book; Understanding; System; Language; Hospital,Regina Barzilay - Deep Learning for Cancer Diagnosis and Treatment; Data; Machine; Your; Cancer; Their; Learning; Science; Them; Area; Computer; Book; Understanding; System; Language; Hospital
41,Leonard Susskind,"Leonard Susskind - Quantum Mechanics, String Theory and Black Holes",Leonard Susskind - Quantum Mechanics; String Theory and Black Holes,Quantum; System; Them; Systems; Physics; Mechanics; Computer; Theory; Learning; Black; Space; String; Machine; Intelligence; Holes,Leonard Susskind - Quantum Mechanics; String Theory and Black Holes; Quantum; System; Them; Systems; Physics; Mechanics; Computer; Theory; Learning; Black; Space; String; Machine; Intelligence; Holes
42,Peter Norvig,Peter Norvig - Artificial Intelligence A Modern Approach,Peter Norvig - Artificial Intelligence A Modern Approach,Learning; Your; Data; Terms; Programming; Language; Type; Level; Code; Lisp; Book; Field; Them; Technology; Deep,Peter Norvig - Artificial Intelligence A Modern Approach; Learning; Your; Data; Terms; Programming; Language; Type; Level; Code; Lisp; Book; Field; Them; Technology; Deep
44,David Ferrucci,"David Ferrucci - IBM Watson, Jeopardy & Deep Conversations with AI",David Ferrucci - IBM Watson; Jeopardy; Deep Conversations with AI,Humans; Intelligence; Them; Your; Machine; Gonna; Stuff; Hard; Reason; Data; Words; Enough; Understanding; Better; Jeopardy,David Ferrucci - IBM Watson; Jeopardy; Deep Conversations with AI; Humans; Intelligence; Them; Your; Machine; Gonna; Stuff; Hard; Reason; Data; Words; Enough; Understanding; Better; Jeopardy
45,Michio Kaku,"Michio Kaku - Future of Humans, Aliens, Space Travel & Physics",Michio Kaku - Future of Humans; Aliens; Space Travel; Physics,Universe; Theory; Their; Type; Your; Mars; Them; Energy; String; Earth; Stars; Internet; Future; Physics; Space,Michio Kaku - Future of Humans; Aliens; Space Travel; Physics; Universe; Theory; Their; Type; Your; Mars; Them; Energy; String; Earth; Stars; Internet; Future; Physics; Space
46,Garry Kasparov,"Garry Kasparov - Chess, Deep Blue, AI, and Putin",Garry Kasparov - Chess; Deep Blue; AI; and Putin,Chess; Game; Your; Machines; Games; Match; Machine; Lost; Mistakes; Knew; Difference; Humans; Blue; Play; Ideas,Garry Kasparov - Chess; Deep Blue; AI; and Putin; Chess; Game; Your; Machines; Games; Match; Machine; Lost; Mistakes; Knew; Difference; Humans; Blue; Play; Ideas
47,Sean,Sean Carroll Quantum Mechanics and the Many-Worlds Interpretation,Sean Carroll Quantum Mechanics and the Many-Worlds Interpretation,Quantum; Space; Mechanics; Theory; Wave; Worlds; Physics; Function; Classical; Universe; Fundamental; Your; Field; System; Them,Sean Carroll Quantum Mechanics and the Many-Worlds Interpretation; Quantum; Space; Mechanics; Theory; Wave; Worlds; Physics; Function; Classical; Universe; Fundamental; Your; Field; System; Them
48,Bjarne Stroustrup,Bjarne Stroustrup - C++,Bjarne Stroustrup - C++,Code; Language; Programming; Languages; Type; Your; Types; Stuff; System; Machine; Better; Level; Program; Didn; Rules,Bjarne Stroustrup - C++; Code; Language; Programming; Languages; Type; Your; Types; Stuff; System; Machine; Better; Level; Program; Didn; Rules
49,Elon,Elon Musk Neuralink AI Autopilot and the Pale Blue Dot,Elon Musk Neuralink AI Autopilot and the Pale Blue Dot,Brain; Your; Consciousness; Cortex; Intelligence; Machine; System; Link; Engineering; Neural; Them; Digital; Safety; Civilization; Cars,Elon Musk Neuralink AI Autopilot and the Pale Blue Dot; Brain; Your; Consciousness; Cortex; Intelligence; Machine; System; Link; Engineering; Neural; Them; Digital; Safety; Civilization; Cars
50,Michael Kearns,"Michael Kearns - Algorithmic Fairness, Privacy & Ethics",Michael Kearns - Algorithmic Fairness; Privacy; Ethics,Fairness; Data; Your; Privacy; Learning; Computer; Algorithmic; Algorithm; Algorithms; Them; Machine; Game; Their; Group; Science,Michael Kearns - Algorithmic Fairness; Privacy; Ethics; Fairness; Data; Your; Privacy; Learning; Computer; Algorithmic; Algorithm; Algorithms; Them; Machine; Game; Their; Group; Science
51,Dava Newman,"Dava Newman - Space Exploration, Space Suits, and Life on Mars",Dava Newman - Space Exploration; Space Suits; and Life on Mars,Mars; Earth; Moon; Space; Gonna; Mission; Astronauts; Them; Exploration; Humans; Terms; Systems; Your; Three; Pressure,Dava Newman - Space Exploration; Space Suits; and Life on Mars; Mars; Earth; Moon; Space; Gonna; Mission; Astronauts; Them; Exploration; Humans; Terms; Systems; Your; Three; Pressure
52,Gilbert Strang,"Gilbert Strang - Linear Algebra, Teaching, and MIT OpenCourseWare",Gilbert Strang - Linear Algebra; Teaching; and MIT OpenCourseWare,Math; Linear; Algebra; Matrix; Data; Numbers; Space; Calculus; Learning; Class; Them; Flat; Dimensions; Pretty; Students,Gilbert Strang - Linear Algebra; Teaching; and MIT OpenCourseWare; Math; Linear; Algebra; Matrix; Data; Numbers; Space; Calculus; Learning; Class; Them; Flat; Dimensions; Pretty; Students
53,Noam,Noam Chomsky Language Cognition and Deep Learning,Noam Chomsky Language Cognition and Deep Learning,Language; Your; Science; Nature; System; Structure; Capacity; Them; Carefully; Newton; Noam; Linguistics; Doesn; Neural; Learning,Noam Chomsky Language Cognition and Deep Learning; Language; Your; Science; Nature; System; Structure; Capacity; Them; Carefully; Newton; Noam; Linguistics; Doesn; Neural; Learning
54,Ray,Ray Dalio Principles the Economic Machine AI the Arc of Life,Ray Dalio Principles the Economic Machine AI the Arc of Life,Your; Money; Them; Principles; Their; Process; Almost; Gonna; Others; Dollars; Best; Successful; Better; Level; Credit,Ray Dalio Principles the Economic Machine AI the Arc of Life; Your; Money; Them; Principles; Their; Process; Almost; Gonna; Others; Dollars; Best; Successful; Better; Level; Credit
55,Whitney Cummings,"Whitney Cummings - Comedy, Robotics, Neurology, and Love",Whitney Cummings - Comedy; Robotics; Neurology; and Love,Your; Gonna; Robots; Love; Robot; Their; Them; Brain; Humans; Animals; Someone; Stuff; Relationship; Surveillance; Whatever,Whitney Cummings - Comedy; Robotics; Neurology; and Love; Your; Gonna; Robots; Love; Robot; Their; Them; Brain; Humans; Animals; Someone; Stuff; Relationship; Surveillance; Whatever
56,Judea Pearl,"Judea Pearl - Causal Reasoning, Counterfactuals, and the Path to AGI",Judea Pearl - Causal Reasoning; Counterfactuals; and the Path to AGI,Judea; Your; Laughs; Model; Knowledge; Them; Machine; Learning; Cannot; Causation; Metaphor; Questions; Learn; Cause; Effect,Judea Pearl - Causal Reasoning; Counterfactuals; and the Path to AGI; Judea; Your; Laughs; Model; Knowledge; Them; Machine; Learning; Cannot; Causation; Metaphor; Questions; Learn; Cause; Effect
57,Rohit Prasad,Rohit Prasad - Amazon Alexa and Conversational AI,Rohit Prasad - Amazon Alexa and Conversational AI,Alexa; Your; Terms; Data; Customers; Learning; Customer; Experience; Voice; Hard; Perspective; Based; Understanding; Intelligence; Five,Rohit Prasad - Amazon Alexa and Conversational AI; Alexa; Your; Terms; Data; Customers; Learning; Customer; Experience; Voice; Hard; Perspective; Based; Understanding; Intelligence; Five
58,Michael Stevens,Michael Stevens - Vsauce,Michael Stevens - Vsauce,Earth; Your; Flat; Youtube; Questions; Video; Universe; Them; Science; Worried; Intelligence; Their; Scientific; Ideas; Thought,Michael Stevens - Vsauce; Earth; Your; Flat; Youtube; Questions; Video; Universe; Them; Science; Worried; Intelligence; Their; Scientific; Ideas; Thought
59,Sebastian Thrun,"Sebastian Thrun - Flying Cars, Autonomous Vehicles, and Education",Sebastian Thrun - Flying Cars; Autonomous Vehicles; and Education,Your; Driving; Build; Cars; System; Self; Learning; Love; Their; Them; Technology; Super; Machine; Team; Best,Sebastian Thrun - Flying Cars; Autonomous Vehicles; and Education; Your; Driving; Build; Cars; System; Self; Learning; Love; Their; Them; Technology; Super; Machine; Team; Best
60,Jim Gates,"Jim Gates - Supersymmetry, String Theory and Proving Einstein Right",Jim Gates - Supersymmetry; String Theory and Proving Einstein Right,Theory; Mathematics; Them; Physics; String; Universe; Science; Ideas; Mathematical; Force; Your; General; Einstein; Equations; Technology,Jim Gates - Supersymmetry; String Theory and Proving Einstein Right; Theory; Mathematics; Them; Physics; String; Universe; Science; Ideas; Mathematical; Force; Your; General; Einstein; Equations; Technology
61,Melanie Mitchell,"Melanie Mitchell - Concepts, Analogies, Common Sense & Future of AI",Melanie Mitchell - Concepts; Analogies; Common Sense; Future of AI,Intelligence; Learning; Your; Concepts; Systems; Intelligent; Humans; Deep; Perception; System; Super; Kinds; Machine; Concept; Them,Melanie Mitchell - Concepts; Analogies; Common Sense; Future of AI; Intelligence; Learning; Your; Concepts; Systems; Intelligent; Humans; Deep; Perception; System; Super; Kinds; Machine; Concept; Them
62,Donald,Donald Knuth Algorithms Complexity and The Art of Computer Programming,Donald Knuth Algorithms Complexity and The Art of Computer Programming,Book; Them; Computer; Didn; Algorithms; Numbers; Three; Algorithm; Programming; Your; Better; Graph; Stuff; Thought; Writing,Donald Knuth Algorithms Complexity and The Art of Computer Programming; Book; Them; Computer; Didn; Algorithms; Numbers; Three; Algorithm; Programming; Your; Better; Graph; Stuff; Thought; Writing
63,Stephen,Stephen Kotkin Stalin Putin and the Nature of Power,Stephen Kotkin Stalin Putin and the Nature of Power,Power; Stalin; Putin; Russia; Capitalism; Them; Lenin; Their; Country; History; President; Russian; Executive; System; Soviet,Stephen Kotkin Stalin Putin and the Nature of Power; Power; Stalin; Putin; Russia; Capitalism; Them; Lenin; Their; Country; History; President; Russian; Executive; System; Soviet
64,Grant,Grant Sanderson 3Blue1Brown and the Beauty of Mathematics,Grant Sanderson 3Blue1Brown and the Beauty of Mathematics,Math; Your; Beautiful; Itself; Function; Universe; Certain; Them; Mathematics; Notation; Three; Numbers; Physical; Pretty; Doesn,Grant Sanderson 3Blue1Brown and the Beauty of Mathematics; Math; Your; Beautiful; Itself; Function; Universe; Certain; Them; Mathematics; Notation; Three; Numbers; Physical; Pretty; Doesn
65,Daniel Kahneman,"Daniel Kahneman - Thinking Fast and Slow, Deep Learning, and AI",Daniel Kahneman - Thinking Fast and Slow; Deep Learning; and AI,System; Your; Mind; Doesn; Experience; Them; Their; Machine; Systems; Experiments; Self; Learning; Learn; Story; Problems,Daniel Kahneman - Thinking Fast and Slow; Deep Learning; and AI; System; Your; Mind; Doesn; Experience; Them; Their; Machine; Systems; Experiments; Self; Learning; Learn; Story; Problems
66,Ayanna Howard,Ayanna Howard - Human-Robot Interaction & Ethics of Safety-Critical Systems,Ayanna Howard - Human-Robot Interaction; Ethics of Safety-Critical Systems,Robot; Robots; Robotics; Them; Your; Trust; Their; Data; Space; Based; Interaction; Better; Love; Humans; Bias,Ayanna Howard - Human-Robot Interaction; Ethics of Safety-Critical Systems; Robot; Robots; Robotics; Them; Your; Trust; Their; Data; Space; Based; Interaction; Better; Love; Humans; Bias
67,Paul Krugman,"Paul Krugman - Economics of Innovation, Automation, Safety Nets & UBI",Paul Krugman - Economics of Innovation; Automation; Safety Nets; UBI,Government; Pretty; Trade; Health; Society; Care; Political; Economics; Your; Stuff; Works; Doesn; Economy; Their; Ideas,Paul Krugman - Economics of Innovation; Automation; Safety Nets; UBI; Government; Pretty; Trade; Health; Society; Care; Political; Economics; Your; Stuff; Works; Doesn; Economy; Their; Ideas
68,Cristos Goodrow,Cristos Goodrow - YouTube Algorithm,Cristos Goodrow - YouTube Algorithm,Youtube; Video; Videos; Watch; Them; Algorithm; Learning; Your; Next; Search; Watched; Machine; Watching; Creators; Sure,Cristos Goodrow - YouTube Algorithm; Youtube; Video; Videos; Watch; Them; Algorithm; Learning; Your; Next; Search; Watched; Machine; Watching; Creators; Sure
69,David Chalmers,David Chalmers - The Hard Problem of Consciousness,David Chalmers - The Hard Problem of Consciousness,Consciousness; Conscious; View; Universe; Experience; Gonna; Brain; Mind; Simulation; System; Physical; Virtual; Level; Them; Least,David Chalmers - The Hard Problem of Consciousness; Consciousness; Conscious; View; Universe; Experience; Gonna; Brain; Mind; Simulation; System; Physical; Virtual; Level; Them; Least
